Tempo Decorrido,Ocupacao
24400.000000,0.85
24500.000000,0.85
24600.000000,0.85
24700.000000,0.85
24800.000000,0.85
24900.000000,0.85
25000.000000,0.85
25100.000000,0.85
25200.000000,0.85
25300.000000,0.85
25400.000000,0.85
25500.000000,0.85
25600.000000,0.85
25700.000000,0.85
25800.000000,0.85
25900.000000,0.85
26000.000000,0.85
26100.000000,0.85
26200.000000,0.85
26300.000000,0.85
26400.000000,0.85
26500.000000,0.85
26600.000000,0.85
26700.000000,0.85
26800.000000,0.85
26900.000000,0.85
27000.000000,0.85
27100.000000,0.85
27200.000000,0.85
27300.000000,0.85
27400.000000,0.85
27500.000000,0.85
27600.000000,0.85
27700.000000,0.85
27800.000000,0.85
27900.000000,0.85
28000.000000,0.85
28100.000000,0.85
28200.000000,0.85
28300.000000,0.85
28400.000000,0.85
28500.000000,0.85
28600.000000,0.85
28700.000000,0.85
28800.000000,0.85
28900.000000,0.85
29000.000000,0.85
29100.000000,0.85
29200.000000,0.85
29300.000000,0.85
29400.000000,0.85
29500.000000,0.85
29600.000000,0.85
29700.000000,0.85
29800.000000,0.85
29900.000000,0.85
30000.000000,0.85
30100.000000,0.85
30200.000000,0.85
30300.000000,0.85
30400.000000,0.85
30500.000000,0.85
30600.000000,0.85
30700.000000,0.85
30800.000000,0.85
30900.000000,0.85
31000.000000,0.85
31100.000000,0.85
31200.000000,0.85
31300.000000,0.85
31400.000000,0.85
31500.000000,0.85
31600.000000,0.85
31700.000000,0.85
31800.000000,0.85
31900.000000,0.85
32000.000000,0.85
32100.000000,0.85
32200.000000,0.85
32300.000000,0.85
32400.000000,0.85
32500.000000,0.85
32600.000000,0.85
32700.000000,0.85
32800.000000,0.85
32900.000000,0.85
33000.000000,0.85
33100.000000,0.85
33200.000000,0.85
33300.000000,0.85
33400.000000,0.85
33500.000000,0.85
33600.000000,0.85
33700.000000,0.85
33800.000000,0.85
33900.000000,0.85
34000.000000,0.85
34100.000000,0.85
34200.000000,0.85
34300.000000,0.85
34400.000000,0.85
34500.000000,0.85
34600.000000,0.85
34700.000000,0.85
34800.000000,0.85
34900.000000,0.85
35000.000000,0.85
35100.000000,0.85
35200.000000,0.85
35300.000000,0.85
35400.000000,0.85
35500.000000,0.85
35600.000000,0.85
35700.000000,0.85
35800.000000,0.85
35900.000000,0.85
36000.000000,0.85
36100.000000,0.85
36200.000000,0.85
36300.000000,0.85
36400.000000,0.85
36500.000000,0.85
36600.000000,0.85
36700.000000,0.85
36800.000000,0.85
36900.000000,0.85
37000.000000,0.85
37100.000000,0.85
37200.000000,0.85
37300.000000,0.85
37400.000000,0.85
37500.000000,0.85
37600.000000,0.85
37700.000000,0.85
37800.000000,0.85
37900.000000,0.85
38000.000000,0.85
38100.000000,0.85
38200.000000,0.85
38300.000000,0.85
38400.000000,0.85
38500.000000,0.85
38600.000000,0.85
38700.000000,0.85
38800.000000,0.85
38900.000000,0.85
39000.000000,0.85
39100.000000,0.85
39200.000000,0.85
39300.000000,0.85
39400.000000,0.85
39500.000000,0.85
39600.000000,0.85
39700.000000,0.85
39800.000000,0.85
39900.000000,0.85
40000.000000,0.85
40100.000000,0.85
40200.000000,0.85
40300.000000,0.85
40400.000000,0.85
40500.000000,0.85
40600.000000,0.85
40700.000000,0.85
40800.000000,0.85
40900.000000,0.85
41000.000000,0.85
41100.000000,0.85
41200.000000,0.85
41300.000000,0.85
41400.000000,0.85
41500.000000,0.85
41600.000000,0.85
41700.000000,0.85
41800.000000,0.85
41900.000000,0.85
42000.000000,0.85
42100.000000,0.85
42200.000000,0.85
42300.000000,0.85
42400.000000,0.85
42500.000000,0.85
42600.000000,0.85
42700.000000,0.85
42800.000000,0.85
42900.000000,0.85
43000.000000,0.85
43100.000000,0.85
43200.000000,0.85
43300.000000,0.85
43400.000000,0.85
43500.000000,0.85
43600.000000,0.85
43700.000000,0.85
43800.000000,0.85
43900.000000,0.85
44000.000000,0.85
44100.000000,0.85
44200.000000,0.85
44300.000000,0.85
44400.000000,0.85
44500.000000,0.85
44600.000000,0.85
44700.000000,0.85
44800.000000,0.85
44900.000000,0.85
45000.000000,0.85
45100.000000,0.85
45200.000000,0.85
45300.000000,0.85
45400.000000,0.85
45500.000000,0.85
45600.000000,0.85
45700.000000,0.85
45800.000000,0.85
45900.000000,0.85
46000.000000,0.85
46100.000000,0.85
46200.000000,0.85
46300.000000,0.85
46400.000000,0.85
46500.000000,0.85
46600.000000,0.85
46700.000000,0.85
46800.000000,0.85
46900.000000,0.85
47000.000000,0.85
47100.000000,0.85
47200.000000,0.85
47300.000000,0.85
47400.000000,0.85
47500.000000,0.85
47600.000000,0.85
47700.000000,0.85
47800.000000,0.85
47900.000000,0.85
48000.000000,0.85
48100.000000,0.85
48200.000000,0.85
48300.000000,0.85
48400.000000,0.85
48500.000000,0.85
48600.000000,0.85
48700.000000,0.85
48800.000000,0.85
48900.000000,0.85
49000.000000,0.85
49100.000000,0.85
49200.000000,0.85
49300.000000,0.85
49400.000000,0.85
49500.000000,0.85
49600.000000,0.85
49700.000000,0.85
49800.000000,0.85
49900.000000,0.85
50000.000000,0.85
50100.000000,0.85
50200.000000,0.85
50300.000000,0.85
50400.000000,0.85
50500.000000,0.85
50600.000000,0.85
50700.000000,0.85
50800.000000,0.85
50900.000000,0.85
51000.000000,0.85
51100.000000,0.85
51200.000000,0.85
51300.000000,0.85
51400.000000,0.85
51500.000000,0.85
51600.000000,0.85
51700.000000,0.85
51800.000000,0.85
51900.000000,0.85
52000.000000,0.85
52100.000000,0.85
52200.000000,0.85
52300.000000,0.85
52400.000000,0.85
52500.000000,0.85
52600.000000,0.85
52700.000000,0.85
52800.000000,0.85
52900.000000,0.85
53000.000000,0.85
53100.000000,0.85
53200.000000,0.85
53300.000000,0.85
53400.000000,0.85
53500.000000,0.85
53600.000000,0.85
53700.000000,0.85
53800.000000,0.85
53900.000000,0.85
54000.000000,0.85
54100.000000,0.85
54200.000000,0.85
54300.000000,0.85
54400.000000,0.85
54500.000000,0.85
54600.000000,0.85
54700.000000,0.85
54800.000000,0.85
54900.000000,0.85
55000.000000,0.85
55100.000000,0.85
55200.000000,0.85
55300.000000,0.85
55400.000000,0.85
55500.000000,0.85
55600.000000,0.85
55700.000000,0.85
55800.000000,0.85
55900.000000,0.85
56000.000000,0.85
56100.000000,0.85
56200.000000,0.85
56300.000000,0.85
56400.000000,0.85
56500.000000,0.85
56600.000000,0.85
56700.000000,0.85
56800.000000,0.85
56900.000000,0.85
57000.000000,0.85
57100.000000,0.85
57200.000000,0.85
57300.000000,0.85
