Tempo Decorrido,E[N]
62300.000000,8.76
62400.000000,8.76
62500.000000,8.76
62600.000000,8.76
62700.000000,8.77
62800.000000,8.76
62900.000000,8.76
63000.000000,8.76
63100.000000,8.76
63200.000000,8.75
63300.000000,8.75
63400.000000,8.75
63500.000000,8.74
63600.000000,8.74
63700.000000,8.75
63800.000000,8.74
63900.000000,8.75
64000.000000,8.75
64100.000000,8.75
64200.000000,8.77
64300.000000,8.77
64400.000000,8.76
64500.000000,8.75
64600.000000,8.75
64700.000000,8.75
64800.000000,8.80
64900.000000,8.80
65000.000000,8.80
65100.000000,8.79
65200.000000,8.79
65300.000000,8.78
65400.000000,8.78
65500.000000,8.80
65600.000000,8.80
65700.000000,8.80
65800.000000,8.81
65900.000000,8.82
66000.000000,8.82
66100.000000,8.82
66200.000000,8.82
66300.000000,8.82
66400.000000,8.82
66500.000000,8.82
66600.000000,8.82
66700.000000,8.82
66800.000000,8.82
66900.000000,8.82
67000.000000,8.82
67100.000000,8.83
67200.000000,8.87
67300.000000,8.87
67400.000000,8.87
67500.000000,8.87
67600.000000,8.86
67700.000000,8.85
67800.000000,8.85
67900.000000,8.85
68000.000000,8.84
68100.000000,8.84
68200.000000,8.85
68300.000000,8.87
68400.000000,8.88
68500.000000,8.88
68600.000000,8.88
68700.000000,8.87
68800.000000,8.88
68900.000000,8.88
69000.000000,8.88
69100.000000,8.87
69200.000000,8.87
69300.000000,8.87
69400.000000,8.87
69500.000000,8.87
69600.000000,8.87
69700.000000,8.87
69800.000000,8.87
69900.000000,8.89
70000.000000,8.90
70100.000000,8.89
70200.000000,8.89
70300.000000,8.90
70400.000000,8.90
70500.000000,8.89
70600.000000,8.90
70700.000000,8.91
70800.000000,8.92
70900.000000,8.92
71000.000000,8.92
71100.000000,8.91
71200.000000,8.91
71300.000000,8.90
71400.000000,8.90
71500.000000,8.90
71600.000000,8.90
71700.000000,8.92
71800.000000,8.92
71900.000000,8.92
72000.000000,8.93
72100.000000,8.94
72200.000000,8.94
72300.000000,8.94
72400.000000,8.95
72500.000000,8.95
72600.000000,8.94
72700.000000,8.95
72800.000000,8.95
72900.000000,8.94
73000.000000,8.93
73100.000000,8.94
73200.000000,8.93
73300.000000,8.92
73400.000000,8.92
73500.000000,8.94
73600.000000,8.94
73700.000000,8.94
73800.000000,8.94
73900.000000,8.94
74000.000000,8.96
74100.000000,8.96
74200.000000,8.97
74300.000000,8.97
74400.000000,8.97
74500.000000,8.97
74600.000000,8.96
74700.000000,8.97
74800.000000,8.96
74900.000000,8.96
75000.000000,8.95
75100.000000,8.96
75200.000000,8.96
75300.000000,8.95
75400.000000,8.95
75500.000000,8.95
75600.000000,8.95
75700.000000,8.95
75800.000000,8.94
75900.000000,8.94
76000.000000,8.94
76100.000000,8.93
76200.000000,8.93
76300.000000,8.93
76400.000000,8.93
76500.000000,8.92
76600.000000,8.92
76700.000000,8.92
76800.000000,8.91
76900.000000,8.91
77000.000000,8.91
77100.000000,8.91
77200.000000,8.91
77300.000000,8.90
77400.000000,8.90
77500.000000,8.90
77600.000000,8.89
77700.000000,8.89
77800.000000,8.88
77900.000000,8.89
78000.000000,8.88
78100.000000,8.88
78200.000000,8.87
78300.000000,8.87
78400.000000,8.87
78500.000000,8.87
78600.000000,8.87
78700.000000,8.87
78800.000000,8.87
78900.000000,8.87
79000.000000,8.87
79100.000000,8.87
79200.000000,8.87
79300.000000,8.88
79400.000000,8.88
79500.000000,8.89
79600.000000,8.89
79700.000000,8.89
79800.000000,8.89
79900.000000,8.90
80000.000000,8.90
80100.000000,8.90
80200.000000,8.91
80300.000000,8.92
80400.000000,8.91
80500.000000,8.91
80600.000000,8.91
80700.000000,8.90
80800.000000,8.90
80900.000000,8.90
81000.000000,8.90
81100.000000,8.90
81200.000000,8.90
81300.000000,8.90
81400.000000,8.90
81500.000000,8.91
81600.000000,8.91
81700.000000,8.90
81800.000000,8.90
81900.000000,8.90
82000.000000,8.90
82100.000000,8.90
82200.000000,8.90
82300.000000,8.89
82400.000000,8.89
82500.000000,8.88
82600.000000,8.88
82700.000000,8.88
82800.000000,8.88
82900.000000,8.87
83000.000000,8.87
83100.000000,8.86
83200.000000,8.86
83300.000000,8.86
83400.000000,8.85
83500.000000,8.85
83600.000000,8.85
83700.000000,8.85
83800.000000,8.85
83900.000000,8.84
84000.000000,8.84
84100.000000,8.84
84200.000000,8.84
84300.000000,8.83
84400.000000,8.84
84500.000000,8.84
84600.000000,8.84
84700.000000,8.84
84800.000000,8.84
84900.000000,8.84
85000.000000,8.84
85100.000000,8.83
85200.000000,8.83
85300.000000,8.83
85400.000000,8.83
85500.000000,8.84
85600.000000,8.83
85700.000000,8.83
85800.000000,8.83
85900.000000,8.83
86000.000000,8.82
86100.000000,8.83
