Tempo Decorrido,E[W]
43500.000000,18.52
43600.000000,18.54
43700.000000,18.56
43800.000000,18.57
43900.000000,18.59
44000.000000,18.59
44100.000000,18.58
44200.000000,18.56
44300.000000,18.53
44400.000000,18.49
44500.000000,18.45
44600.000000,18.42
44700.000000,18.41
44800.000000,18.38
44900.000000,18.35
45000.000000,18.33
45100.000000,18.30
45200.000000,18.29
45300.000000,18.28
45400.000000,18.26
45500.000000,18.22
45600.000000,18.20
45700.000000,18.19
45800.000000,18.17
45900.000000,18.16
46000.000000,18.13
46100.000000,18.09
46200.000000,18.06
46300.000000,18.03
46400.000000,17.99
46500.000000,17.96
46600.000000,17.94
46700.000000,17.91
46800.000000,17.88
46900.000000,17.87
47000.000000,17.85
47100.000000,17.82
47200.000000,17.79
47300.000000,17.76
47400.000000,17.73
47500.000000,17.70
47600.000000,17.69
47700.000000,17.68
47800.000000,17.65
47900.000000,17.63
48000.000000,17.61
48100.000000,17.58
48200.000000,17.55
48300.000000,17.53
48400.000000,17.50
48500.000000,17.47
48600.000000,17.44
48700.000000,17.43
48800.000000,17.42
48900.000000,17.40
49000.000000,17.38
49100.000000,17.35
49200.000000,17.33
49300.000000,17.30
49400.000000,17.27
49500.000000,17.24
49600.000000,17.24
49700.000000,17.25
49800.000000,17.28
49900.000000,17.33
50000.000000,17.36
50100.000000,17.39
50200.000000,17.43
50300.000000,17.45
50400.000000,17.48
50500.000000,17.50
50600.000000,17.53
50700.000000,17.56
50800.000000,17.61
50900.000000,17.65
51000.000000,17.69
51100.000000,17.74
51200.000000,17.80
51300.000000,17.87
51400.000000,17.92
51500.000000,17.95
51600.000000,17.99
51700.000000,18.02
51800.000000,18.04
51900.000000,18.07
52000.000000,18.10
52100.000000,18.16
52200.000000,18.21
52300.000000,18.26
52400.000000,18.30
52500.000000,18.36
52600.000000,18.43
52700.000000,18.51
52800.000000,18.60
52900.000000,18.69
53000.000000,18.78
53100.000000,18.85
53200.000000,18.93
53300.000000,19.01
53400.000000,19.09
53500.000000,19.13
53600.000000,19.16
53700.000000,19.18
53800.000000,19.19
53900.000000,19.22
54000.000000,19.25
54100.000000,19.28
54200.000000,19.33
54300.000000,19.39
54400.000000,19.46
54500.000000,19.52
54600.000000,19.57
54700.000000,19.60
54800.000000,19.63
54900.000000,19.66
55000.000000,19.69
55100.000000,19.68
55200.000000,19.67
55300.000000,19.66
55400.000000,19.64
55500.000000,19.62
55600.000000,19.59
55700.000000,19.56
55800.000000,19.53
55900.000000,19.50
56000.000000,19.48
56100.000000,19.45
56200.000000,19.42
56300.000000,19.40
56400.000000,19.38
56500.000000,19.36
56600.000000,19.33
56700.000000,19.30
56800.000000,19.28
56900.000000,19.27
57000.000000,19.27
57100.000000,19.27
57200.000000,19.25
57300.000000,19.22
57400.000000,19.20
57500.000000,19.17
57600.000000,19.14
57700.000000,19.12
57800.000000,19.10
57900.000000,19.09
58000.000000,19.08
58100.000000,19.09
58200.000000,19.10
58300.000000,19.10
58400.000000,19.10
58500.000000,19.08
58600.000000,19.05
58700.000000,19.04
58800.000000,19.03
58900.000000,19.02
59000.000000,19.00
59100.000000,18.99
59200.000000,18.96
59300.000000,18.94
59400.000000,18.92
59500.000000,18.90
59600.000000,18.87
59700.000000,18.85
59800.000000,18.83
59900.000000,18.81
60000.000000,18.79
60100.000000,18.77
60200.000000,18.74
60300.000000,18.73
60400.000000,18.70
60500.000000,18.67
60600.000000,18.65
60700.000000,18.64
60800.000000,18.64
60900.000000,18.63
61000.000000,18.60
61100.000000,18.59
61200.000000,18.58
61300.000000,18.56
61400.000000,18.54
61500.000000,18.51
61600.000000,18.49
61700.000000,18.46
61800.000000,18.43
61900.000000,18.41
62000.000000,18.40
62100.000000,18.39
62200.000000,18.38
62300.000000,18.35
62400.000000,18.33
62500.000000,18.30
62600.000000,18.28
62700.000000,18.27
62800.000000,18.27
62900.000000,18.24
63000.000000,18.23
63100.000000,18.21
63200.000000,18.20
63300.000000,18.19
63400.000000,18.19
63500.000000,18.20
63600.000000,18.21
63700.000000,18.22
63800.000000,18.23
63900.000000,18.25
64000.000000,18.26
64100.000000,18.27
64200.000000,18.27
64300.000000,18.26
64400.000000,18.26
64500.000000,18.25
64600.000000,18.25
64700.000000,18.24
64800.000000,18.22
64900.000000,18.20
65000.000000,18.18
65100.000000,18.16
65200.000000,18.13
65300.000000,18.11
65400.000000,18.09
65500.000000,18.07
65600.000000,18.05
65700.000000,18.03
65800.000000,18.01
65900.000000,17.99
66000.000000,17.96
66100.000000,17.94
66200.000000,17.92
66300.000000,17.90
66400.000000,17.89
66500.000000,17.87
66600.000000,17.84
66700.000000,17.82
66800.000000,17.80
66900.000000,17.79
67000.000000,17.78
67100.000000,17.77
67200.000000,17.74
67300.000000,17.72
67400.000000,17.71
67500.000000,17.71
67600.000000,17.70
67700.000000,17.69
67800.000000,17.69
67900.000000,17.69
68000.000000,17.70
68100.000000,17.71
68200.000000,17.70
68300.000000,17.69
68400.000000,17.68
68500.000000,17.67
68600.000000,17.67
68700.000000,17.67
68800.000000,17.67
68900.000000,17.66
69000.000000,17.64
69100.000000,17.61
69200.000000,17.59
69300.000000,17.58
69400.000000,17.56
69500.000000,17.54
69600.000000,17.52
69700.000000,17.52
69800.000000,17.51
69900.000000,17.51
70000.000000,17.51
70100.000000,17.51
70200.000000,17.49
70300.000000,17.49
70400.000000,17.48
70500.000000,17.47
70600.000000,17.45
70700.000000,17.43
70800.000000,17.41
70900.000000,17.40
71000.000000,17.38
71100.000000,17.36
71200.000000,17.35
71300.000000,17.33
71400.000000,17.31
71500.000000,17.29
71600.000000,17.28
71700.000000,17.26
71800.000000,17.23
71900.000000,17.21
72000.000000,17.19
72100.000000,17.17
72200.000000,17.15
72300.000000,17.13
72400.000000,17.12
72500.000000,17.10
72600.000000,17.10
72700.000000,17.09
72800.000000,17.08
72900.000000,17.07
73000.000000,17.05
73100.000000,17.05
73200.000000,17.05
73300.000000,17.05
73400.000000,17.07
73500.000000,17.09
73600.000000,17.10
73700.000000,17.10
73800.000000,17.10
73900.000000,17.10
74000.000000,17.09
74100.000000,17.08
74200.000000,17.06
74300.000000,17.04
74400.000000,17.02
74500.000000,17.01
74600.000000,16.98
74700.000000,16.97
74800.000000,16.95
74900.000000,16.93
75000.000000,16.92
75100.000000,16.92
75200.000000,16.93
75300.000000,16.94
75400.000000,16.94
75500.000000,16.95
75600.000000,16.96
75700.000000,16.98
75800.000000,17.01
75900.000000,17.05
76000.000000,17.09
76100.000000,17.13
76200.000000,17.18
76300.000000,17.22
76400.000000,17.26
76500.000000,17.31
76600.000000,17.34
76700.000000,17.35
76800.000000,17.37
76900.000000,17.38
77000.000000,17.40
77100.000000,17.42
77200.000000,17.43
77300.000000,17.43
77400.000000,17.44
77500.000000,17.44
77600.000000,17.42
77700.000000,17.41
77800.000000,17.41
77900.000000,17.40
78000.000000,17.40
78100.000000,17.39
78200.000000,17.39
78300.000000,17.38
78400.000000,17.36
78500.000000,17.34
78600.000000,17.32
78700.000000,17.31
78800.000000,17.29
78900.000000,17.27
