Tempo Decorrido,Lambda
43600.000000,5.01
43700.000000,5.01
43800.000000,5.01
43900.000000,5.01
44000.000000,5.01
44100.000000,5.01
44200.000000,5.01
44300.000000,5.01
44400.000000,5.01
44500.000000,5.01
44600.000000,5.01
44700.000000,5.01
44800.000000,5.01
44900.000000,5.01
45000.000000,5.01
45100.000000,5.01
45200.000000,5.01
45300.000000,5.01
45400.000000,5.01
45500.000000,5.01
45600.000000,5.01
45700.000000,5.01
45800.000000,5.01
45900.000000,5.01
46000.000000,5.01
46100.000000,5.01
46200.000000,5.01
46300.000000,5.01
46400.000000,5.01
46500.000000,5.01
46600.000000,5.01
46700.000000,5.01
46800.000000,5.01
46900.000000,5.01
47000.000000,5.01
47100.000000,5.01
47200.000000,5.01
47300.000000,5.01
47400.000000,5.01
47500.000000,5.01
47600.000000,5.01
47700.000000,5.01
47800.000000,5.01
47900.000000,5.01
48000.000000,5.01
48100.000000,5.01
48200.000000,5.01
48300.000000,5.01
48400.000000,5.01
48500.000000,5.01
48600.000000,5.01
48700.000000,5.01
48800.000000,5.01
48900.000000,5.01
49000.000000,5.01
49100.000000,5.01
49200.000000,5.01
49300.000000,5.01
49400.000000,5.01
49500.000000,5.01
49600.000000,5.01
49700.000000,5.01
49800.000000,5.01
49900.000000,5.01
50000.000000,5.01
50100.000000,5.01
50200.000000,5.01
50300.000000,5.01
50400.000000,5.01
50500.000000,5.01
50600.000000,5.01
50700.000000,5.01
50800.000000,5.01
50900.000000,5.01
51000.000000,5.01
51100.000000,5.01
51200.000000,5.01
51300.000000,5.01
51400.000000,5.01
51500.000000,5.01
51600.000000,5.01
51700.000000,5.01
51800.000000,5.01
51900.000000,5.01
52000.000000,5.01
52100.000000,5.01
52200.000000,5.01
52300.000000,5.01
52400.000000,5.01
52500.000000,5.01
52600.000000,5.01
52700.000000,5.01
52800.000000,5.01
52900.000000,5.01
53000.000000,5.01
53100.000000,5.01
53200.000000,5.01
53300.000000,5.01
53400.000000,5.01
53500.000000,5.01
53600.000000,5.01
53700.000000,5.01
53800.000000,5.01
53900.000000,5.01
54000.000000,5.01
54100.000000,5.01
54200.000000,5.01
54300.000000,5.01
54400.000000,5.01
54500.000000,5.01
54600.000000,5.01
54700.000000,5.01
54800.000000,5.01
54900.000000,5.01
55000.000000,5.01
55100.000000,5.01
55200.000000,5.01
55300.000000,5.01
55400.000000,5.01
55500.000000,5.01
55600.000000,5.01
55700.000000,5.01
55800.000000,5.01
55900.000000,5.01
56000.000000,5.01
56100.000000,5.01
56200.000000,5.01
56300.000000,5.01
56400.000000,5.01
56500.000000,5.01
56600.000000,5.01
56700.000000,5.01
56800.000000,5.01
56900.000000,5.01
57000.000000,5.01
57100.000000,5.01
57200.000000,5.01
57300.000000,5.01
57400.000000,5.01
57500.000000,5.01
57600.000000,5.01
57700.000000,5.01
57800.000000,5.01
57900.000000,5.01
58000.000000,5.01
58100.000000,5.01
58200.000000,5.01
58300.000000,5.01
58400.000000,5.01
58500.000000,5.01
58600.000000,5.01
58700.000000,5.01
58800.000000,5.01
58900.000000,5.01
59000.000000,5.01
59100.000000,5.01
59200.000000,5.01
59300.000000,5.01
59400.000000,5.01
59500.000000,5.01
59600.000000,5.01
59700.000000,5.01
59800.000000,5.01
59900.000000,5.01
60000.000000,5.01
60100.000000,5.01
60200.000000,5.01
60300.000000,5.01
60400.000000,5.01
60500.000000,5.01
60600.000000,5.01
60700.000000,5.01
60800.000000,5.01
60900.000000,5.01
61000.000000,5.01
61100.000000,5.01
61200.000000,5.01
61300.000000,5.01
61400.000000,5.01
61500.000000,5.01
61600.000000,5.01
61700.000000,5.01
61800.000000,5.01
61900.000000,5.01
62000.000000,5.01
62100.000000,5.01
62200.000000,5.01
62300.000000,5.01
62400.000000,5.01
62500.000000,5.01
62600.000000,5.01
62700.000000,5.01
62800.000000,5.01
62900.000000,5.01
63000.000000,5.01
63100.000000,5.01
63200.000000,5.01
63300.000000,5.01
63400.000000,5.01
63500.000000,5.01
63600.000000,5.01
63700.000000,5.01
63800.000000,5.01
63900.000000,5.01
64000.000000,5.01
64100.000000,5.01
64200.000000,5.01
64300.000000,5.01
64400.000000,5.01
64500.000000,5.01
64600.000000,5.01
64700.000000,5.01
64800.000000,5.01
64900.000000,5.01
65000.000000,5.01
65100.000000,5.01
65200.000000,5.01
65300.000000,5.01
65400.000000,5.01
65500.000000,5.01
65600.000000,5.01
65700.000000,5.01
65800.000000,5.01
